Date,Open,High,Low,Close,Adj Close,Volume
2020-03-02,138.000000,144.899994,133.100006,134.000000,119.242935,57070
2020-03-03,134.300003,141.600006,133.600006,137.000000,121.912552,60557
2020-03-04,137.000000,138.699997,134.000000,134.100006,119.331917,22854
2020-03-05,137.100006,140.899994,134.300003,135.899994,120.933685,23992
2020-03-06,134.899994,134.899994,125.099998,129.100006,114.882561,77492
2020-03-09,127.000000,127.000000,120.199997,124.900002,111.145096,45436
2020-03-10,125.000000,126.199997,120.000000,123.800003,110.166229,99849
2020-03-11,122.000000,122.400002,109.800003,110.000000,97.885994,99200
2020-03-12,100.000000,103.900002,88.000000,88.000000,78.308784,122099
2020-03-13,85.000000,92.750000,77.000000,85.000000,75.639175,379202
2020-03-16,85.000000,85.000000,69.000000,71.400002,63.536911,210348
2020-03-17,72.000000,79.199997,69.000000,77.800003,69.232094,294402
2020-03-18,77.800003,77.800003,64.050003,64.949997,57.797222,168244
2020-03-19,66.000000,68.699997,62.200001,64.550003,57.441280,127754
2020-03-20,66.400002,71.400002,62.099998,64.000000,56.951847,294481
2020-03-23,62.400002,67.400002,59.299999,66.000000,58.731594,104349
2020-03-24,69.800003,73.349998,67.349998,71.349998,63.492409,134428
2020-03-25,72.699997,76.599998,67.250000,70.000000,62.291088,150187
2020-03-26,68.199997,69.900002,66.000000,69.000000,61.401211,83020
2020-03-27,70.500000,71.000000,66.099998,68.199997,60.689308,179104
2020-03-30,68.300003,68.300003,63.000000,64.250000,57.174316,94366
2020-03-31,65.000000,65.800003,62.349998,65.500000,58.286655,126710
2020-04-01,64.800003,65.699997,63.500000,64.000000,56.951847,51173
2020-04-02,65.199997,67.400002,62.200001,64.849998,57.708237,182167
2020-04-03,64.900002,65.099998,63.000000,64.000000,56.951847,49792
2020-04-06,65.000000,73.650002,64.750000,73.150002,65.094177,176412
2020-04-07,75.400002,92.000000,75.150002,81.500000,72.524620,223710
2020-04-08,83.000000,85.849998,77.000000,83.000000,73.859421,98750
2020-04-09,86.000000,89.000000,82.500000,84.400002,75.105240,92218
2020-04-10,84.400002,84.400002,84.400002,84.400002,75.105240,0
2020-04-13,84.400002,84.400002,84.400002,84.400002,75.105240,0
2020-04-14,87.000000,89.000000,82.199997,84.400002,75.105240,178154
2020-04-15,85.000000,85.550003,78.650002,78.949997,70.255440,130608
2020-04-16,79.500000,81.000000,76.900002,78.000000,69.410065,120502
2020-04-17,78.099998,81.349998,75.500000,77.000000,68.520187,116780
2020-04-20,78.000000,82.449997,75.199997,79.699997,70.922844,94723
2020-04-21,80.099998,80.300003,68.599998,72.949997,64.916199,173710
2020-04-22,73.099998,76.900002,69.000000,76.599998,68.164238,83789
2020-04-23,76.800003,78.449997,75.000000,78.349998,69.721519,54061
2020-04-24,78.400002,78.400002,74.400002,76.500000,68.075256,39648
2020-04-27,76.699997,81.550003,76.699997,81.300003,72.346649,169827
2020-04-28,81.400002,81.949997,78.000000,79.599998,70.833855,56681
2020-04-29,78.900002,79.699997,75.500000,77.199997,68.698158,102943
